year	rank	votes	artist	song	filename	source	lyrics	language
1994	1		Ummamuudu	Kõnõtraat	lyrics-ummamuudu-konotraat	1	:,:Välän külmetas ja taivast satas lummõ. Ütle mullõ uma telefoninummõr.:,: :,:Hamõ õhukõ, su sälän prunts om tummõ. Ütle mullõ uma telefoninummõr.:,: :,:Hammõst läbi paistus rõnnakõnõ kummõr. Ütle mullõ uma telefoninummõr.:,: :,:Sis meil tulõva Fiesta ja Rock Summõr. Utle mullõ uma telefoninummõr.:,: :,:Sis ku kulmetas ja välän satas lummõ, utle mullõ uma telefoninummõr.:,:	et
1994	2		Vennaskond	Pille-Riin	lyrics-vennaskond-pille-riin	1	Taevas sinetav ja hämar, kuhugi on kadund kuu. Sulalumine on tänav, akna all on raagus puu. Lume sisse pikad triibud, teinud Sinu Soome kelk. Nukralt seljatoele liibud, silmis äraolev helk. Pille-Riin, Pille-Riin, kohtume me täna siin, õhtusinas laternate all. Pille-Riin, Pille-Riin, lapsepõlv on möödas siin, varakevadisel tänaval. Sul on suvepäike põues, kevadõhtu on Su vend. Soovin, et siinsamas õues, riietaksid lahti end. Päästad mantli hõlmad valla, kleidinööbid lahti eest. Tulvaveega rentslist alla, häbelikkus kaob Su seest. Pille-Riin, Pille-Riin, kohtume me täna siin, õhtusinas laternate all. Pille-Riin, Pille-Riin, lapsepõlv on möödas siin, varakevadisel tänaval. Seisad lumes, nagu loodi, tead, et tahan tulla ma. Sinu tuppa, Sinu voodi, Sinuga koos hullama. Tänasest on saanud eile, triibulisse patja pead surume, ja tundub meile, inimesed kõik on head. Pille-Riin, Pille-Riin, kohtume me täna siin, õhtusinas laternate all. Pille-Riin, Pille-Riin, lapsepõlv on möödas siin, varakevadisel tänaval. Hommikuses päikses aga, sinisilmad lahti teed. Kuulatad, kuis akna taga, rõõmsalt vulisevad veed. Ära mulle silma tüki, päikene, va pudrusilm. Läbi väikse klaasitüki roheline näib maailm. Pille-Riin, Pille-Riin, kohtume me täna siin, õhtusinas laternate all. Pille-Riin, Pille-Riin, lapsepõlv on möödas siin, varakevadisel tänaval.	et
1994	3		Jam	See 5	lyrics-jam-see_viis	1	See viis haaras mind, see viis võlus mind, see viis võitis mind kui esmakordselt kuulsin laulmas sind. Sind nägin päiksena lavalt paistmas, sind terve saalitäis mõttes mõistmas, su laulu lõhna ja mõtet haistmas ainult ma ei mõistnud sind. Ka mina püüdsin sust aru saada, ei tahtnud teistest ma maha jääda, kuid laulu mõte läks minust mööda, ainult viisi jagas pea. See viis haaras mind… Võib-olla laulsid sa armurõõmust, võib-olla väikesest veinisõõmust, võib-olla ühtegi mõttejäänust selles laulus polnud sees. Kui puuga oleks ma pähe saanud, ei ühtki sõna mul meelde jäänud, kuid sellest viisist ei küllalt saanud, - sina ise olid viis! See viis haaras mind… Nüüd olen aastaid su kõrval käinud, su häid ja halbugi külgi näinud, ei ole siiski sust aru saanud, kõrvus ainult mul see viis. Su publikuks nüüd on toatäis lapsi, kes kuulavad sind nii vastutahtmist, ei ole roose, ei suurt aplausi, jäänud ainult on see viis. See viis haaras mind…	et
1994	4		The Tuberkuloited	Lilleke Rohus	lyrics-the_tuberkuloited-lilleke_rohus	1	Tüdruk vaatab lille, lill kasvab rohus ja tüdrukul meeldib see lilleke rohus Tüdruk vaatab lille, mina tüdrukut rohus ja minule meeldib see lilleke rohus Chorus: Lilleke rohus, lilleke rohus lilleke rohus, aaaa... Lilleke rohus, lilleke rohus lilleke rohus, aaaa... Tüdruk vaatab lille, ei märka, et ohus on tema ja maailm ja lilleke rohus Tüdruk vaatab lille, ei lill kasva rohus ja miskit ei taipa ses tohuvabohus Chorus (2x) Tüdruk vaatab lille, lill kasvab rohus on tema ja maailm, on tema ja maailm on tema ja maailm ja lilleke rohus Chorus	et
1994	5		The Tuberkuloited	Põhjamaa Neid	lyrics-the_tuberkuloited-pohjamaa_neid	1	Kui käes on hommik ja süttib taevas ja päev saab valget valgust täis, aaaa... Siis öö on möödas, siis öö on möödas mu põhjamaa neid Siis öö on möödas, siis öö on möödas mu põhjamaa neid Kuu helgib taevas ja kuldsed kiired neist maha varjud jätavad, aaaa... Su õrnad huuled, su õrnad huuled mu põhjamaa neid Su õrnad huuled, su õrnad huuled mu põhjamaa neid Siin on nii hämar, siin on nii vaikne vaid sinu sosistusi kuulen, aaaa... Ja näen su nägu, su valget nägu mu põhjamaa neid Ja näen su nägu, su valget nägu mu põhjamaa neid Ma usun vaikust, ja usun õrnust ja olen sinuga siin koos, aaaa... Sa oled ilus, sa oled ilus mu põhjamaa neid Sa oled ilus, sa oled ilus mu põhjamaa neid Su vaim haihtub, sus süttib valgus sind ootan tagasi mu neid, aaaa... siis oled ilus, siis oled ilus mu põhjamaa neid siis oled ilus, siis oled ilus mu põhjamaa neid Kui käes on hommik ja süttib taevas ja päev saab valget valgust täis, aaaa... Siis öö on möödas, siis öö on möödas mu põhjamaa neid Siis öö on möödas, siis öö on möödas mu põhjamaa neid....	et
1994	6		Jam	Su Järele Igatsen Ma	lyrics-jam-su_jarele_igatsen_ma	1	Enne sind ei teadnud ma kuis võis olla see nii, et pilgust võisin armuda, nii võõras tundus see siis. Kas mäletad neid arge pilke, mil esmalt nägid mind Sa rõõmust valla lasid kilke, kui tantsule palusin sind Ref:Kas sa ei tea mu südamesoovi Kas tõesti ei tunne end sa Et mul hing kannab armuloori Su järele igatsen ma Nii äkki kui sind kohtasin, sinust ilma samas ma jäin Ma mõtlematult petsin sind ja me teineteist enam ei näind. Kuid lootust kaotanud ma pole pikkamisi ootan sind Tean, et tagasi sa tuled ootusest tuksumas mu rind. Ref:Kas sa ei tea mu südamesoovi Kas tõesti ei tunne end sa Et mul hing kannab armuloori Su järele igatsen ma. (5x)	et
1994	7		2 Quick Start	Olen Loobuda Sust Proovinud	lyrics-2_quick_start-olen_loobuda_sust_proovinud	1	"1. PÕHJUST MILJON, MILLEST MÕELDA VÕIN, NÄEN SU NÄOST, EI AITA SEE. SÕRMUS KAASA VIIS MU SOOVID KÕIK, KÄEL SU SOOJUST TUNNEN VEEL. Ref: OLEN LOOBUDA SUST PROOVINUD, SEE NÄIB LOOTUSETU SOOV. SINUST LEIDSIN KÕIK, EI HOOLIND MUUST, IGAVIK NÜÜD VAID RAHU TOOB. 2. MA EI JÄÄNUD ÜKSI EKSLEMA, VÕÕRAS MUL ON SÜÜTA SÜÜ. LIND SU ARMUPUURIS PEKSLEMAS, MA OLIN SIIS JA OLEN NÜÜD. Ref:	OLEN LOOBUDA… Ref:	OLEN LOOBUDA…"	et
1994	8		Terminaator	Torm	lyrics-terminaator-torm	1	Olen tulnud liiga pikalt teelt Tühja maja leidsin enda eest Ja silmanurgas pisar läigatas Ja sahtlipõhjast sinu pildi leian ma Ja seda ainiti jään vaatama Mälestused tolmust puhtaks pühin ma Ei suuda elada ma ilma sinuta Siis palun.. Lase mind sisse külma tormi eest Võta mind soojade käte vahele Nii ma ukselävel palusin Kuid sina ukse sulgesid Mu maja sinuta nii tühi näib Ma nagu vaim toast tuppa ringi käin Ja õhtul kui ma vaarun voodisse Ja õhtul kui ma mõtlen jälle sinule Siis palun.. Lase mind sisse külma tormi eest Võta mind soojade käte vahele Nii ma ukselävel palusin Lase mind sisse külma tormi eest Võta mind soojade käte vahele Nii ma ukselävel palusin Kuid sina ukse sulgesid Lase mind sisse külma tormi eest Võta mind soojade käte vahele Nii ma ukselävel palusin	et
1994	9		2 Quick Start	Sinu Jaoks	lyrics-2_quick_start-sinu_jaoks	1	1. EKSISIN OTSIDES SIND MÖÖDA PATUSEID TEID, KUID EI LEIDNUD. ARMASTUST OOTAS MU HING, TÜDIND NEIST, KEDA KÄED SENI HOIDNUD. MINU ELLU TÕI SIND JUHUS VAID, SAATUS HAAVAND OLI MÕLEMAID. OLLA TAHAN NÜÜD- SINU JAOKS. 2. SUUDLUSE MAHLANE MAIK AINA MEENUTAB SIND MINU HUULIL. ÕHTUNE KOHTUMISPAIK ÕNNEHETKI NÄEB TAAS VÄIKSEID, SUURI. VAREM KÕIK, MIS NÕNDA ARGLIK NÄIS, SOOVE MEELETUMAID NÜÜD ON TÄIS. TUHAKS PÕLEND MAID- SINU JAOKS. 3. NÜÜD, MIL MU KÕRVAL SA KÄID JA MIND ARMASTAD NII, KUI EIKEEGI. TUNDUB, ET MAHA MEIST JÄI, SEE MIS SURMATA VÕIS ARMULEEGI. ÄRA IIAL SULE UST MU EEST, KUI PEAN ÜKSI JÄÄMA KAOTAN TEE. KALLIS HOIA END- MINU JAOKS.	et
1994	10		D-Gän	Seib	lyrics-d-gan-seib	1	ELASID KOOS KORD MUTTER JA POLT EI SEGANUD NEID IIAL MITTE ÜKS TONT SÜNDIS NEIL POEG SAI SEIB NIMEKS TAL KÕIK OLI KENA SIIN PÄIKESE ALL KUID ÜKSKORD POLT VÄIKSED ÕLLED SEES KÜSIS MIKS POLE SEIBIL VINTE SEES MUTTER EI OSANUD VASTATA JA JÄIGI VASTUS SAAMATA SEIB! (SEIB) ON POLDI POEG (ON POLDI POEG) MUTRI JA POLDI POEG (SEIB) VINDINE POLT (POLDI POEG) SEIB! (SEIB) ON POLDI POEG (ON POLDI POEG) POLDIPOEG - MUTTER VA SORT ELASID KOOS KORD MUTTER JA POLT EI SEGANUD NEID IIAL MITTE ÜKS TONT SÜNDIS NEIL POEG SAI SEIB NIMEKS TAL KÕIK OLI KENA SIIN PÄIKESE ALL KUID ÜKSKORD POLT VÄIKSED ÕLLED SEES KÜSIS MIKS POLE SEIBIL VINTE SEES MUTTER EI OSANUD VASTATA JA JÄIGI VASTUS SAAMATA SEIB! (SEIB) ON POLDI POEG (ON POLDI POEG) MUTRI JA POLDI POEG (SEIB) VINDINE POLT (POLDI POEG) SEIB! (SEIB) ON POLDI POEG (ON POLDI POEG) POLDIPOEG - MUTTER VA SORT SELLEST HETKEST HAKKAS SEIBIL VILTU VEDAMA EMA ISA TEDA LÕID (TEDA LÕID) KUNI SEIBIL MEEL NII MUSTAKS LÄKS KUI MUSTIKAS JA ENNAST TÄIS TA JÕI - JÕI ENNAST TÄIS (JÕI TÄIS) KUID SIIS ROOSTEUSS HAKKAS TEDA NÄRIMA SUURED PLEKID SISSE SÕI (SISSE SÕI) SÕI NIIKAUA KUNI SEIB ROOSTEST KÄRINAL JA ENNAST TÄIS TA JÕI - JÕI ENNAST TÄIS (JÕI TÄIS) ELASID KOOS NII MUTTER JA SEIB OLI SEIBILE TEKKIND ÜKS RISTPEAGA BEIB TAHTSID SIIS NAD ABIELLUDA KUID LINNAS PUUDUS KRUVIKEERAJA ELU LÄKS IKKAGI EDASI ELASID SÕID JA MAGASID POLNUD JU TEHA NEIL MIDAGI JA POLNUD TEHA VAJAGI SOLUNN ON SOLUNNI POEG	et
